input_smiles,molecule_name,status,bbb_probability,bbb_class,bbb_confidence,mw,logp,tpsa,rot_bonds,h_acceptors,h_donors,frac_csp3,molar_refractivity,log_s_esol,gi_absorption,lipinski_passes,pains_alerts,brenk_alerts,heavy_atoms,mol_formula
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,,success,0.40153767817531305,non_permeable,0.1969246436493739,2180.317,-8.116429999999925,901.5700000000002,66,29,28,0.5408163265306123,539.8094000000013,-4.2888185816327,Low,False,0,3,155,C98H138N24O33
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,,success,0.44405822932741223,non_permeable,0.11188354134517553,1269.4330000000002,-3.1057000000000192,495.8899999999998,31,16,17,0.5084745762711864,328.53820000000024,-4.084164786440667,Low,False,0,4,91,C59H84N18O14
CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,,success,0.5174380650949356,permeable,0.034876130189871235,1811.2530000000002,4.867599999999979,519.8899999999998,51,16,20,0.5104166666666666,500.11810000000156,-11.14806493333332,Low,False,0,1,131,C96H135N19O16
NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,,success,0.44562155766988565,non_permeable,0.1087568846602287,1069.2379999999994,-4.1320300000000145,435.40999999999985,19,15,14,0.4782608695652174,271.4036999999997,-2.966009743478248,Low,False,0,4,74,C46H64N14O12S2
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,success,0.47930846776638364,non_permeable,0.04138306446723272,1431.0640000000005,-0.5061300000000057,495.6699999999998,38,16,17,0.42857142857142855,377.7252000000007,-6.202877757142857,Low,False,0,3,102,C70H92ClN17O14
CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,,success,0.3688669657105353,non_permeable,0.2622660685789294,1620.693000000001,-5.621799999999977,702.02,35,24,22,0.5277777777777778,400.26050000000083,-4.427118155555575,Low,False,0,2,115,C72H101N17O26
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,,success,0.26845180331362567,non_permeable,0.46309639337274866,1202.634999999999,3.269000000000003,278.8,15,12,5,0.7903225806451613,328.4446000000004,-8.950645709677415,Low,False,0,1,85,C62H111N11O12
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,success,0.456000352406488,non_permeable,0.08799929518702398,1416.089,1.1680000000000075,424.9799999999998,38,16,13,0.4583333333333333,377.18270000000086,-7.186758466666671,Low,False,0,1,101,C72H95ClN14O14
CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,,success,0.6555135281155942,permeable,0.3110270562311883,247.143,0.5174199999999998,116.95,4,5,3,0.25,52.85940000000002,-1.6192611999999997,High,True,0,2,16,C8H10NO6P
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,,success,0.3835780978268861,non_permeable,0.23284380434622776,1355.3879999999992,2.722220000000001,477.85,27,21,9,0.6190476190476191,335.6942000000005,-8.634499438095235,Low,False,0,1,93,C63H88CoN14O14P
